iterations_s1_anneal,objective_s1_anneal,kl_s1_anneal,pp_s1_anneal,E_log_pxz_s1_anneal,ELBO_s1_anneal,kl_pct_obj_s1_anneal,objective_s1,kl_s1,pp_s1,E_log_pxz_s1,ELBO_s1,kl_pct_obj_s1,objective_s2,kl_s2,pp_s2,E_log_pxz_s2,ELBO_s2,kl_pct_obj_s2,objective_s3,kl_s3,pp_s3,E_log_pxz_s3,ELBO_s3,kl_pct_obj_s3,kl_s1_avg,kl_s1_anneal_avg,kl_s2_avg,kl_s3_avg,objective_s1_avg,objective_s1_anneal_avg,objective_s2_avg,objective_s3_avg,E_log_pxz_s1_avg,E_log_pxz_s1_anneal_avg,E_log_pxz_s2_avg,E_log_pxz_s3_avg,ELBO_s1_avg,ELBO_s1_anneal_avg,ELBO_s2_avg,ELBO_s3_avg,kl_pct_obj_s1_avg,kl_pct_obj_s1_anneal_avg,kl_pct_obj_s2_avg,kl_pct_obj_s3_avg
20000,-59.4296484375,6.3214465332000005,84.07767898648028,-53.108201904299996,-59.4296484375,0.10636856685847698,-57.9963525391,0.9400523376459999,75.5548214007168,-57.056300201454,-57.9963525391,0.016208818253048502,-110.881845703,9.01108276367,3899.4625392193593,-50.935381469664996,-59.94646423333499,0.08126743116998997,-160.385556641,12.144238281300002,156395.90268277618,-49.41377278656666,-61.55801106786666,0.07571902692262454,,,,,,,,,,,,,,,,,,,,
21000,-61.03723632810001,6.06929321289,81.37597611460231,-54.967943115210005,-61.03723632810001,0.09943591122417596,-59.8274951172,0.9644784545899999,74.58142935631184,-58.86301666261,-59.8274951172,0.016120990068205596,-114.06177734399999,9.08803833008,3716.986868197229,-52.48686950696,-61.57490783704,0.07967645728219103,-165.683691406,12.5201586914,153455.6605910697,-51.05451090486667,-63.574669596266666,0.07556663293262791,,,,,,,,,,,,,,,,,,,,
22000,-56.3130908203,5.79030700684,72.64781763285234,-50.522783813459995,-56.3130908203,0.10282346293719477,-54.912431640600005,0.948467330933,65.30236696352144,-53.963964309667006,-54.912431640600005,0.017272360785999905,-104.380791016,9.03801635742,2817.889863542952,-47.67138732929,-56.70940368671,0.08658696939779474,-151.012978516,12.399566650399999,97989.5701933014,-46.20447062186667,-58.604037272266666,0.08210927810477064,,,,,,,,,,,,,,,,,,,,
23000,-56.3728125,5.7555676269500005,71.80150384658262,-50.61724487305,-56.372812499999995,0.10209828766215985,-55.3586328125,0.9954438018799999,66.4875941572412,-54.36318901062,-55.3586328125,0.017981726630633632,-104.99864257799999,9.25687255859,2865.428785013896,-47.87088500970499,-57.127757568294996,0.0881618307752253,-151.457197266,12.6013989258,97025.50228668717,-46.285266113400006,-58.886665039200004,0.08320105715193263,,,,,,,,,,,,,,,,,,,,
24000,-59.2564404297,5.727615356449999,78.78508377781547,-53.52882507325,-59.2564404297,0.09665810694864577,-57.810849609399995,0.986310119629,70.82381080239324,-56.82453948977099,-57.810849609399995,0.017060986411599574,-109.869775391,9.41859558105,3283.023007724058,-50.225589904975,-59.644185486025,0.08572508269477655,-159.171162109,13.0816455078,124198.46845486086,-48.69650553373333,-61.77815104153333,0.0821860275094412,,,,,,,,,,,,,,,,,,,,
25000,-61.8694140625,5.642289428709999,82.51166374623719,-56.22712463379,-61.8694140625,0.09119674905940119,-60.6794287109,0.9838988494869999,75.79724620687111,-59.695529861413,-60.6794287109,0.016214701924348533,-115.46355468700001,9.51291748047,3773.022092729029,-52.97531860326501,-62.48823608373501,0.08238891922440575,-165.802089844,13.0252429199,136777.6606832522,-50.92561564136667,-63.95085856126667,0.07855897915493829,,,,,,,,,,,,,,,,,,,,
26000,-54.5226464844,5.6022644043,67.04552623221845,-48.9203820801,-54.5226464844,0.10275114590967109,-53.13734375,1.0045905304,60.251198502285526,-52.1327532196,-53.13734375,0.01890554663639919,-101.31189453100001,9.552896118160001,2475.656893712452,-45.87949920642,-55.43239532458,0.0942919502431864,-145.658203125,13.406690673800002,75714.46456505799,-44.08383748373333,-57.49052815753333,0.09204212592334904,,,,,,,,,,,,,,,,,,,,
27000,-56.2648974609,5.57762817383,68.96689425179714,-50.68726928707,-56.2648974609,0.09913157982214478,-55.2980957031,1.03656814575,64.1279327833144,-54.26152755735,-55.2980957031,0.018745096599988166,-105.350849609,9.73314331055,2771.31362617159,-47.808853149224994,-57.54199645977499,0.09238789574715028,-150.452871094,13.3802600098,82516.85008022205,-45.690870361399995,-59.0711303712,0.08893323146648546,,,,,,,,,,,,,,,,,,,,
28000,-59.2984375,5.473067626950001,76.42164719926393,-53.82536987305,-59.2984375,0.09229699563247347,-58.022109375,1.03885452271,69.61172695468828,-56.98325485229,-58.022109375,0.017904459763705374,-110.09092773399999,9.72924560547,3135.440269432985,-50.180841064264996,-59.910086669734994,0.08837463545568128,-157.905605469,13.7477429199,103469.05093747686,-48.0526208497,-61.8003637696,0.08706304553956418,,,,,,,,,,,,,,,,,,,,
29000,-57.6115332031,5.721689453130001,69.68210307852515,-51.88984374997,-57.611533203099995,0.09931500057391501,-56.4605517578,1.06476799011,64.01751176383901,-55.39578376769,-56.4605517578,0.01885861822033829,-106.906386719,9.95313842773,2631.3183515806913,-48.476624145635,-58.429762573365,0.09310143886811463,-153.160253906,13.6865332031,79421.41395272204,-46.4912402343,-60.1777734374,0.08936086781039107,0.6361954148611666,9.671489780423302,6.996640593210968,9.851024580633968,-62.31579801431,-66.70893912761333,-120.71018977863334,-176.50092122393335,-61.67960259944885,-57.037449347190005,-56.85677459271117,-55.549965547766455,-62.31579801431,-66.70893912761333,-63.85341518592215,-65.40099012840041,0.010735903111447846,0.14393621536146312,0.061894898255443025,0.05974876607889017
